Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,Q 31,Q 32,Q 33,Q 34,Q 35,Q 36,Q 37,Q 38,Q 39,Q 40,Q 41,Q 42,Q 43,Q 44,Q 45,Q 46,Q 47,Q 48,Q 49,Q 50,Q 51,Q 52,Q 53,Q 54,Q 55,Q 56,Q 57,Q 58,Q 59,Q 60,Q 61,Q 62,Q 63,Q 64,Q 65,Q 66,Q 67,Q 68,Q 69,Q 70,Q 71,Q 72,Q 73,Q 74,Q 75,Q 76,Q 77,Q 78,Q 79,Q 80,Q 81,Q 82,Q 83,Q 84,Q 85,Q 86,Q 87,Q 88,Q 89,Q 90,Q 91,Q 92,Q 93,Q 94,Q 95,Q 96,Q 97,Q 98,Q 99,Q 100,Q 101,Q 102,Q 103,Q 104,Q 105,Q 106,Q 107,Q 108,Q 109,Q 110,Q 111,Q 112,Q 113,Q 114,Q 115,Q 116,Q 117,Q 118,Q 119,Q 120,Q 121,Q 122,Q 123,Q 124,Q 125,Q 126,Q 127,Q 128,Q 129,Q 130,Q 131,Q 132,Q 133,Q 134,Q 135,Q 136,Q 137,Q 138,Q 139,Q 140,Q 141,Q 142,Q 143,Q 144,Q 145,Q 146,Q 147,Q 148,Q 149,Q 150,Q 151,Q 152,Q 153,Q 154,Q 155,Q 156,Q 157,Q 158,Q 159,Q 160,Q 161,Q 162,Q 163,Q 164,Q 165,Q 166,Q 167,Q 168,Q 169,Q 170,Q 171,Q 172,Q 173,Q 174,Q 175,Q 176,Q 177,Q 178,Q 179,Q 180,Q 181,Q 182,Q 183,Q 184,Q 185,Q 186,Q 187,Q 188,Q 189,Q 190,Q 191,Q 192,Q 193,Q 194,Q 195,Q 196,Q 197,Q 198,Q 199,Q 200,QBV PC,QU SERIAL PC,QBV BIO,QU SERIAL BIO,ROLL  NUMBER, Group,TEST NO,CENTER NO
D,D,D,B,C,A,B,B,A,C,D,C,A,A,B,D,A,A,D,A,C,D,C,B,B,C,C,B,D,B,A,B,B,C,C,B,D,A,B,B,D,A,C,D,D,B,C,B,C,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331546,MM,8551,1331
C,B,D,C,A,A,B,C,C,C,B,A,D,A,A,B,D,C,C,B,B,D,C,A,B,D,C,B,A,D,C,C,B,C,D,A,C,B,D,B,B,C,A,B,C,A,B,D,C,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331545,MM,8551,1331
B,D,D,C,D,B,C,A,A,C,A,D,B,B,A,B,C,B,A,B,B,D,B,C,B,D,C,C,A,C,A,D,B,A,D,D,A,B,B,A,C,B,C,D,A,D,B,C,A,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331542,MM,8551,1331
B,B,A,D,A,C,A,D,A,A,B,C,A,A,D,D,B,C,A,C,B,D,A,C,B,B,C,A,D,B,C,A,C,B,D,D,A,A,C,B,A,A,D,A,C,A,D,A,B,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331541,MM,8551,1331
D,D,A,A,A,C,D,C,D,C,B,D,C,B,B,A,D,B,B,C,D,B,D,D,B,C,D,D,D,C,C,C,C,C,D,D,B,A,A,D,D,C,C,C,D,D,C,B,C,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331540,MM,8551,1331
C,A,A,A,A,D,C,B,B,C,B,D,A,A,D,B,B,B,A,B,C,A,B,B,D,A,D,C,D,B,D,C,D,C,B,C,C,B,D,C,C,A,C,C,C,A,D,D,B,D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331539,MM,8551,1331
D,B,C,B,A,D,C,D,A,C,C,C,B,D,A,C,B,A,A,A,B,D,C,D,B,C,D,A,A,B,D,B,D,A,A,B,B,C,D,B,C,A,C,A,C,B,B,B,D,D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331536,MM,8551,1331
C,A,D,A,B,D,C,D,C,D,A,B,A,D,A,B,B,D,A,A,B,D,B,D,A,C,D,C,A,B,B,C,C,B,B,A,B,D,B,C,C,A,C,D,C,A,B,B,C,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331535,MM,8551,1331
C,B,C,A,B,D,C,D,B,C,B,B,B,B,B,A,D,A,D,C,C,D,C,C,B,B,B,A,A,B,C,D,C,C,C,C,C,B,B,B,A,A,A,A,A,A,B,C,D,D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331534,MM,8551,1331
C,D,B,D,A,C,B,D,B,D,A,B,B,D,C,A,C,B,B,A,A,C,C,B,D,A,B,A,B,C,C,A,C,B,A,B,A,B,D,C,A,C,B,A,C,A,D,B,C,A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331530,MM,8551,1331
D,C,A,A,B,D,C,C,B,D,B,D,A,B,C,A,B,A,B,B,A,D,C,A,C,C,D,C,D,C,C,C,B,B,A,D,D,B,A,B,B,A,B,A,A,C,B,B,A,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331529,MB,8551,1331
A,B,A,A,B,D,B,B,C,B,C,B,C,B,C,D,C,C,B,B,C,D,C,A,B,C,D,A,A,C,B,B,B,A,B,C,D,B,D,A,B,A,D,D,A,B,B,B,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331528,MB,8551,1331
B,C,A,D,B,D,D,C,A,B,D,B,C,A,D,C,B,C,D,A,C,D,C,A,D,A,D,B,C,B,C,A,D,B,B,C,A,D,C,D,D,A,A,B,C,C,B,D,D,A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331526,MB,8551,1331
C,A,B,D,A,B,A,B,A,B,A,B,C,B,A,D,D,C,B,C,B,D,A,C,B,C,D,A,D,C,A,B,A,A,B,D,B,C,A,B,B,D,A,C,B,A,D,B,C,A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331524,MB,8551,1331
D,A,B,D,B,D,B,D,A,C,B,D,B,B,C,B,C,B,C,B,D,B,C,A,D,C,C,B,A,C,B,D,B,C,A,C,D,B,A,B,D,C,A,C,B,D,B,C,A,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331520,MB,8551,1331
B,A,C,A,D,D,B,B,A,B,D,D,B,A,A,D,B,C,B,A,C,D,C,B,B,C,B,B,C,D,B,A,C,C,C,B,C,D,B,A,A,B,C,B,C,B,C,B,C,A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331518,BB,8551,1331
C,A,A,D,C,B,C,A,C,D,D,B,A,B,C,B,D,B,C,A,D,C,D,C,B,D,A,C,B,D,A,C,B,C,B,D,A,C,A,D,B,C,B,D,A,C,B,D,B,D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331517,MB,8551,1331
B,B,B,A,D,D,C,D,A,A,B,C,A, ,A,B,B,B,A,A,B,D,D,B,B,B,D, ,A,B,B,C,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331515,MB,8551,1331
A,C,A,C,D,A,B,C,D,B,C,C,C,B,D,A,B,C,B,C,A,C,B,C,B,C,A,C,D,C,A,B,C,B,C,A,C,D,A,B,C,B,C,B,B,C,A,B,C,D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331514,MB,8551,1331
A,B,D,C,B,D,A,B,C,B,D,C,A,B,C,A,C,B,D,C,B,B,A,C,B,D,C,B,*,B,C,B,D,C,B,A,B,D,C,A,C,B,D,C,B,D,B,C,A,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331513,MB,8551,1331
B,A,A,B,D,D,A,D,A,C,A,B,A,C,A,B,D,A,A,C,B,D,D,D,C,C,D,A,A,C,D,D,C,C,B,B,D,D,D,C,C,B,A,B,A,A,B,B,A,D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331511,MB,8551,1331
B,C,C,A,D,D,C,D,C,B,B,D,B,B,B,D,B,C,D,B,C,B,D,B,C,A,D,B,C,B,D,C,B,A,B,C,D,C,D,B,B,B,C,A,C,B,B,A,A,A, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331510,MB,8551,1331
A,C,D,D,A,D,A,D,A,B,C,D,D,A, ,A,B,C,A,B,A,D,B,B,A,C,D,B,B,A,B,D,A,C,B,C,A,D,B,C,A,C,B,D,B,C,A,D,B,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331502,MB,8551,1331
C,A,B,C,D,D,C,D,C,C,C,D,C,B,A,A,B,C,D,D,B,D,D,D,D,C,D,B,C,A,A,A,C,C,A,D,D,C,D,B,C,C,C,D,A,A,B,B,D,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,123456, ,      ,1331501,MB,8551,1331
