Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,QBV Maths,QB Serial Number,SET NUMBER,Roll Number,Group,Test No,Center No
A,B,D,A, , ,C,A, , ,A,B,A, ,B,B, ,C,D,B,A,A,B,C, , ,C,C, ,D, ,      ,1,1618076,MM,101,1618
C,C,B,B,C,D,C,D,B,A,A,A,A,D,B,C,B,B,A,C,D,C,B,C,D,C,C,C,B,A, ,      ,1,1618077,MM,101,1618
A,B, , , ,A, , , ,A, , , ,A, , ,C, , , , , ,B,C, , , , , , , ,      ,1,1618075,MM,101,1618
B,C,A,A,C,A,B,B, ,D,A,A,A,D, , ,B,D,D,C,A,C,B,C,C,A,A,C,A,A, ,      ,1,1618074,MM,101,1618
A,C,B,B,D,A,C, ,B,D,D,A,B,A, ,D, ,C,C,A,C,D,B,C,D,D,C,B,A,B, ,      ,1,1618073,MM,101,1618
C,C,B, ,C, ,C, , ,A,B,A,A,B,B,B,A,B,A,C, ,D,B,B,D,D,A,C,B,B, ,      ,1,1618072,MM,101,1618
 ,B,D, , , ,C,A,B,D,A, , , , , , ,B,A, ,A,A, , , , ,C, , , , ,      ,1,1618071,MM,101,1618
C,B,C, , , ,C, ,A,C,D,*,A,B, , , ,C,C, , , ,B,A,D,A, ,B, , , ,      ,1,1618070,MM,101,1618
C,C,B,B,C,D,C,D,B,A,A,A,A,D,B,C,B,B, ,C, ,C,B,C,C,C,A,C,B,D, ,      ,1,1618069,MM,101,1618
A,C, ,A,C,D,C, ,B, ,D, , ,C,A,B, ,B,C,B,A,D,D,C,D,D, ,B,A,B, ,      ,1,1618068,MM,101,1618
D,C,B,B,A,C,C,A,B,D,A,A,D,A,B,B,C,B,C,C,C,D,D,C,D,A,C,C,A,B, ,      ,1,1618067,MM,101,1618
 ,B,D, , , ,C,A,B, ,A, , , , , , ,B,A, ,A, , ,C, , , , , , , ,      ,1,1618065,MM,101,1618
C,C,A, , , ,C, , , ,D, , ,C, , , ,C, ,C,B, ,B,C, , , , ,C, , ,      ,1,1618064,MM,101,1618
 ,C,D, ,A, ,C,A,B, ,A,A, , , , , , , , ,A, , ,C,C, ,C,C, , , ,      ,1,1618063,MM,101,1618
A,C,D, ,D, ,C,D,C,A,D, , , , ,B,C, ,C,B,A,D,D,C,C, , , , ,B, ,      ,1,1618061,MM,101,1618
 ,C,B, , ,A,C,A,B, ,D,A, , ,C, , , ,C, , ,D, ,C,A, ,A, ,B,B, ,      ,1,1618060,MM,101,1618
C, , , , , , , , ,D,C, , , , , , , , ,C,A,A,A, ,C,A,C, , ,D, ,      ,1,1618059,MM,101,1618
D,C,D,D,A,A,C,A,B,D,D,A, ,C, ,B, ,C,C, ,B,C,D,C, ,D,C,C,D,B, ,      ,1,1618058,MM,101,1618
C, ,B, , , ,C,C,B, ,A,A, ,A, , ,C,B,B,B,A, , , , , ,A, , , , ,      ,1,1618057,MM,101,1618
 ,C, , , ,D, , , , , , ,A,C, , , , , , ,A, , ,B,D,D, ,C,B, , ,      ,1,1618054,MM,101,1618
A,C,B,B,D,A,D,A,C,D,D,A,B,A,C,B, ,C,C,B,C,D,D,D, ,A,D,C,A,B, ,      ,1,1618053, ,101,1618
C,B, , ,D,A,D, ,B,D, ,A, , , ,D, ,C,D, , , , , ,D,D, ,C, ,D, ,      ,1,1618052,MM,101,1618
B,A,B, , ,B,C,C,A,C,A, ,D, , , , , , , ,C, , , , , , , , , , ,      ,1,1618051,MM,101,1618
A,C,B, , , ,C,A,B,D, , ,D,C, ,B, , ,A, ,B,C, ,C, , , ,C, ,B, ,      ,1,1618049,MM,101,1618
 , ,C, ,D,D,C, , , ,A,A,D,A, ,A, ,C,B,B,A, ,D,C,D, ,C,C,B,B, ,      ,1,1618048,MM,101,1618
A,C,D,A,D,A,C,A,B,D, ,A, ,A, ,B, ,B,B, , ,D,D,C,D, ,C,C,A,B, ,      ,1,1618046,MM,101,1618
A, , , ,D,A,D, ,A,D,B,A, ,A, , , ,C, ,C,A, , ,C, ,C, ,C,D,B, ,      ,1,1618045,MM,101,1618
C, ,A, , ,A,C,A, , ,C,D,C,A,C, , ,B,B,C, ,C, , , , , ,C, ,D, ,      ,1,1618043,MM,101,1618
A,C,D,B, ,A,C, ,B,D,D,A, ,A, ,D, ,C,B,B,A, ,D,C,C,A, ,C, ,B, ,      ,1,1618042,MM,101,1618
A,C,D,D, ,A, , , , ,A,A, ,B,C,D,B,D, , , ,B,D,D, ,D,A,B, ,A, ,      ,1,1618041,MM,101,1618
A,C,B, , ,D,C,A,A,A,A,A,B,A, ,B,C,C, ,B, ,D,D,C,D,D,A,C,B,B, ,      ,1,1618039,MM,101,1618
B, ,B, ,A,A,D, ,D,C,B, , ,B, , , , , , , , ,D, , ,D, , , ,D, ,      ,1,1618037,MM,101,1618
B,C,B,D,C,A,C,A, ,B, ,A,A,C,B,C,C,C,D,D,A,B,C, , ,C,C,C,C,B, ,      ,1,1618036,MM,101,1618
A, ,B, ,D,D,C,A,B, ,A,A, ,C, , , ,C,C,B,A, ,D,C, ,D,C,C,B,B, ,      ,1,1618035,MM,101,1618
C,C,C,A,C,A,D,B, ,A, ,A, ,B, ,B, , ,A,D, , ,B,D,C,A,D,B, ,C, ,      ,1,1618033,MM,101,1618
 , ,D, ,C, ,C, ,B, , ,C, ,B, , ,C, , , ,D,C, ,A,A, ,C,C, ,B, ,      ,1,1618030,MM,101,1618
A,C, , , ,A,D,A,C,D,D,A, ,A, , , ,D,A,B,A, , ,D,A,A, , ,B,B, ,      ,1,1618028,MM,101,1618
A, ,B, , ,D,C, , , , ,A, , , , , , , , ,B,C, ,C, ,B, , ,B,B, ,      ,1,1618027,MM,101,1618
A,B,D, ,D,A,D,D,C, ,A, ,A, , ,B,B,B,C,B, , ,D,C,C, ,C,C,B,B, ,      ,1,1618025,MM,101,1618
A, ,C, , ,B, , , ,B, ,B, ,C, ,C,B,D, , , , ,D,C,D,A, ,C, , , ,      ,1,1618023,MM,101,1618
A,B,C, , ,B,C, ,C, ,A,A, ,C, , , ,C,A,C, ,D, ,C,D,D, ,C, ,A, ,      ,1,1618021,MM,101,1618
D,B,D,C,D,A,C,A, , ,A,A,A,C, ,C, ,C, ,B, , , ,C,D,A,B,B, ,B, ,      ,1,1618018,MM,101,1618
B,B, , , ,B,C,C,C,B,C,A, ,A, , , ,B,B, , , ,B,C, ,D,C,C, , , ,      ,1,1618019,MM,101,1618
A, ,B, ,A,A,D, ,B,A,A,A, ,C, ,B, , , , ,A, ,B,C, , , ,B, ,B, ,      ,1,1618009,MM,101,1618
A,B,B,B,D,A,C,A,B,D,A,A,A,*, ,C,C,C,B,B,D, ,D,C,D,A,C,C,B,B, ,      ,1,1618008,MM,101,1618
 , , , , ,A,D, , , ,D,A,A,C, , , ,B,B, , , , ,C, ,A,C,C, , , ,      ,1,1618006,MM,101,1618
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,      ,1,1618005,MM,101,1618
D, ,D, , ,A,C, , , , , , ,C, , , ,C, , , , , , , , , , , , , ,      ,1,1618002,MM,101,1618
A,C,D,B,D,A,D, , ,D, , ,B,A, , ,B,C, ,B, , , , ,C,D,A, , , , ,      ,1,1641019,MM,101,1541
A, ,D, ,D,D,C,A,B,D,A,A,B,B, ,C,C,C,A,C,B,D,D, ,C,C,C,C,A,B, ,      ,1,1641061, ,101,1641
A,C,C,C,C, ,C,A,C, ,A,A, ,C, , , ,C, , ,A, ,B,C, , , , , , , ,      ,1,1641091,MM,101,1641
B,C,B,D,D,D,D, ,B,D,D,A,B,A,A,C,B,C,B,B, ,A,B,C, , ,C, ,B,B, ,      ,1,1641030,MM,101,1641
C, , , ,C, ,C,A, , , ,C, ,C, , , ,C, , , , ,B, , , , ,C, , , ,      ,1,1641042,MM,101,1641
C,C,A,B,C,B,B,D,C,A,C,B,C,A,C, ,B,B, ,B,D,B,C,C,A,C, , , ,A, ,      ,1,1641012,MM,101,1641
C,C,A,B,C,D,A, ,B,D,C,A,C,B,D,C,A,B,C,D,B,D,C,A,B,D,C,A,B,C, ,      ,1,1641020,MM,101,1641
C,C,B,C,C,A,C,A,B,D,D,A,D,C, ,B,B,C,B,C,D,C, ,C,D, ,C,A,B,C, ,      ,1,1641073,MM,101,1641
C,C,C,B,C,B,C,A,A,A,A, , ,C,A, , ,B,B,C,B,D,B,C,D,D,A,C,A,A, ,      ,1,1641085,MM,101,1641
C,C, , , , ,C, , , ,A,A, ,D, ,A,A,B, ,A, ,C,D,C,C,C,C, ,B,B, ,      ,1,1641088,MM,101,1641
A,C,C,C,C,D,C,A,C, ,A, , ,C, , ,B,C, ,C,A, ,B,C, , ,C,A,D,B, ,      ,1,1641077,MM,101,1641
C,C,D,B,C,B,C,B,A,D,B,A,A,C,B,B,C,B,A,C,B,C,C,C,A,C,D,C,A,A, ,      ,1,1641097,MM,101,1641
C,C,C, ,C,B,D, ,C, ,D,A, ,B, ,C,B, ,A,C,A,C,B,C,D,A,C,C,A,D, ,      ,1,1641083,MM,101,1641
A,C,C,C, , ,D,A,D,D, , , ,A, ,D, ,C,C,B, ,C,D,C,C,D, ,C, ,B, ,      ,1,1641079,MM,101,1641
C,C,C,C, ,A,C,C,B,D, ,A, , , ,B, ,C,C, ,B, ,D,C, ,C, ,C,C, , ,      ,1,1641096,MM,101,1641
A, ,B,B, , ,D,A,C,D,C, , ,A, ,D, ,C,C,B, ,C,D,C, ,D, ,C,A,B, ,      ,1,1641060,MM,101,1641
C,C,C,B,C,B,C, ,C, ,D,A, ,B, ,C,B,B,A,C,B,C,B,C,A,C,D,C, ,A, ,      ,1,1641067,MM,101,1641
A,C,B,D,D, ,C, ,C,D, ,A, , ,A,D,A,B,B,C,A,B, ,A, ,D, ,C, ,C, ,      ,1,1641053,MM,101,1641
A,C,C,C, , ,C,A, , , ,C, , , , , ,C, ,C,B,C, ,C,C,D, , , , , ,      ,1,1641050,MM,101,1641
A,C,C,C,D,D,A,A,B,B, ,C,D,A, ,D, ,C, ,C, ,D,B,C,C,D,C,C, ,B, ,      ,1,1641010,MM,101,1641
C,C,B,C,C,A,C,D,D, , ,B, ,C,C,D,B,B, ,B,C,B,B, ,D,C,C,A,B,C, ,      ,1,1641099,MM,101,1641
A,C,B,B,C,A,D,A,C,D,B,A,A,A, ,C,D,B,B,C,B, ,B,C,D,D,C,C, ,A, ,      ,1,1641052,MM,101,1641
A,C, , ,C,B,C,D, , ,D,C,A,C,B,B,B,B,D,C,B, ,B,D,C,A,A,B,D,A, ,      ,1,1641065,MM,101,1641
C,C,A,B,C,B,C, ,A,C,D, ,A,B,B, , , , ,A,A, ,B,B, ,D,C,C, ,D, ,      ,1,1641051,MM,101,1641
A,C,C,C, ,D,D,B,B,B, , ,D,B, ,D, ,C,C,B, ,D,B,C,C,D,C,C, ,B, ,      ,1,1641076,MM,101,1641
A,C,C,C, ,D,D,B,B,B, , ,D,B, ,D, ,B,B,B, ,D,B,C,C,D,C,C, ,B, ,      ,1,1641090,MM,101,1641
B,C, ,A,D,D,C, , , , , , , , ,C,C,D, , , , , , ,D,D, , , ,C, ,      ,1,1641075,MM,101,1641
C,C,D,B,C,A,C, ,A, ,B,A,A,C, , ,C, , ,C,B,D,B,C,D,D,C,C, ,C, ,      ,1,1641095,MM,101,1641
B,C,C,C,D,A,D, ,B,D, , ,A,A, , , , ,B,B, , , ,C, ,D, ,C, ,C, ,      ,1,1641017,MM,101,1641
A,C,C,C, ,D,D,B,B,B, , ,D,B, ,D, ,B,B,B, ,D,B,C,C,D,C,C, ,B, ,      ,1,1641062,MM,101,1641
C,C, , ,C,D,A,A, , ,B,A,B,C, ,C,B,B,C,B,C,D, ,C,A,A, ,A,B, , ,      ,1,1641004,MM,101,1641
A,C,D,C,A,C, , ,B,B,D,D, ,C,B, , , ,C, ,A, , , ,D, , ,C, ,A, ,      ,1,1641055,MM,101,1641
B,C,C, , ,A,C, ,C, ,D,C, ,C, , ,B,C,B,C,A, ,B,C,D,A,A, ,C, , ,      ,1,1641084,MM,101,1641
 ,C, ,B,B,D,C,C,B,D,D,A,A,A,A, ,C,C,A,B,A,D,C,C,D,D,C,C,B,B, ,      ,1,1641094,MM,101,1641
A, , ,B, ,D,C,D,C, , , , , , , ,C, ,B,B, ,C, , ,D,D, ,C, ,B, ,      ,1,1641068,MM,101,1641
A,A, ,B,D,B,D,C,C,D,A,A, ,C, ,D,B,C,B,B, , ,C,C,D,D, ,A, ,B, ,      ,1,1641066,MM,101,1641
C,C, ,C,D,D,C,D, , ,A,C, ,B, , , ,C, , , , ,D, ,C,B,C,C, ,B, ,      ,1,1641008,MM,101,1641
 ,D,D, , ,B,D, ,D,B, ,A,A,C, , , , ,B, , , ,D,C,B,C, , ,B, , ,      ,1,1641002,MM,101,1641
C,C,D, , , , , , ,B, , ,D, ,C, , , , , , , , , , ,C, , , ,B, ,      ,1,1641022,MM,101,1641
A,B,B, , ,D,C,A,B, ,A, ,D,A, , ,B,B,B,C,A,A,B,C, ,D,C,C,B,B, ,      ,1,1641036,MM,101,1641
C,C, ,D,C,D,C,A,A,B,A,A,D,C,C, , ,C,C,C,B, ,D,C,D,D, ,C,A,B, ,      ,1,1641046,MM,101,1641
 , , ,D, ,D,C, , ,D,A,C, ,A, , , ,B, , ,A,C,D,C,A,A, , ,B,A, ,      ,1,1641023,MM,101,1641
C,C,C, , ,B, ,A, , ,A,A,D,C, ,D,C,C,B,B,A, ,D,C, ,A, ,C,B,B, ,      ,1,1641063,MM,101,1641
 , ,C, , ,D,B,C,B, , , ,A,C, , ,B,B,B,A,A,C, ,C,D, ,C, , ,A, ,      ,1,1641032,MM,101,1641
A, , , , ,A,C, , , , , , , , ,B, , ,B,B, ,D, ,C,D,A, ,C, , , ,      ,1,1641041,MM,101,1641
C,B, , , , ,C, , , ,B, ,A,B, ,B, , ,B,B, ,C, ,C,D,A, ,C, , , ,      ,1,1641003,MM,101,1641
 ,C,D, ,D,A, , , ,C, , ,A,B, , , ,C,B, ,B,B,B, ,A,A, , ,A, , ,      ,1,1641031,MM,101,1641
A, , , , ,D,D, , , , , , ,A, , , , ,B,B, ,D, ,C,D,A, ,C, , , ,      ,1,1641033,MM,101,1641
B, ,C, , ,A,C, ,B, ,A,A, ,D, ,A, ,C,A,B,B,D,D,C,C,A, ,A, , , ,      ,1,1641048,MM,101,1641
B, ,C, , ,A,C, ,B, ,A,A, ,D, ,A, ,C,A,B,B,D,D,C,C,A, ,A, , , ,      ,1,1641037,MM,101,1641
C,C,C,B,D,B,D, ,B, ,A,A, ,B, ,A, ,D,A,B,B,D,D,C,C,A, ,C,C,A, ,      ,1,1641013,MM,101,1641
 ,C, ,B, , ,C, ,B, , , , ,A, , , ,C,A,B, ,D,C,C,D, , , , ,A, ,      ,1,1641001,MM,101,1641
A,C, ,B,D,B,D, ,B, ,A,D,D,C,B, ,B,C,B, ,B,D, ,C,B,B, ,C,C,A, ,      ,1,1641040,MM,101,1641
B,C, ,B, ,D,C,C, , , , , , , , , , ,A,B,B, ,B,C,C,C, ,C,B,D, ,      ,1,1641005,MM,101,1641
 ,C,B, ,D,B,C,A,B,D,A, , ,C, , , ,C,C,C,A, ,D,C, ,A,C,D, ,A, ,      ,1,1641015,MM,101,1641
C,C,D,A,A, , , ,C,D, ,B, ,D, , ,D,B, , , , , , ,A, ,D,C, ,D, ,      ,1,1641043,MM,101,1641
B,C, ,B, ,D,C,C, ,D, ,B, ,C, , ,C, ,B, ,B, ,B,C,C,C, ,C,B,D, ,      ,1,1641011,MM,101,1641
 , ,B,B, , ,C, ,A,A, , , ,C, , , ,C, ,B, , ,B,B,A,A, , , ,C, ,      ,1,1641024,MM,101,1641
 ,C,C, , ,D,C, , , ,A, ,A,C, ,C, , , ,B,C,C, ,A, ,A,C,A,B,B, ,      ,1,1641009,MM,101,1641
D,C, , ,A, ,C, ,B,D, ,C,A,C, , , ,D,A, ,D, ,D,C,C,A, ,C, ,B, ,      ,1,1641039,MM,101,1641
A,C, , , ,D,C, , , ,D,A,A,A, ,C, , , ,A,B, , ,C, ,A, , , ,B, ,      ,1,1641025,MM,101,1641
A,C,B,D,B,D,B,A,C, ,D,A,A,C,B, , , ,C,D,B,C,D,B,A,A,C, ,B,D, ,      ,1,1641029,MM,101,1641
A,C,B,D, , ,C,A,C,C,A,A,D,C, ,B,B,C,C,B,B, ,D,C,C,A,C,C,A,B, ,      ,1,1641038,MM,101,1641
A,C,D,B,D,B,C,C,C, ,B,C, , ,D, ,B,D,C,C,B,D, ,B,D,C, ,B,D,C, ,      ,1,1641049,MM,101,1641
A,C,D,B,D,A,D, ,C,D, ,A,B,A, , ,B,C,B,B,C, , ,C,D,A, ,C,A,B, ,      ,1,1641018,MM,101,1641
A,C, , ,C,D,C,A, ,D, ,A, ,B, ,D, , , ,D,A, ,D,B,C,C,D, ,D,D, ,      ,1,1641035,MM,101,1641
*,C, ,D, , ,C, ,B, , , , ,A, , , ,C, , , , ,D,C,C,A, , , , , ,      ,1,1641014,MM,101,1641
C,C,D, ,C, ,C,C,C,D,D, , , , ,D, , , ,B, ,D,D, ,D,B, ,A,C, , ,      ,1,1641034,MM,101,1641
C,C,D, ,C,B,C,B,C,B,C,B,A,C,C,D,B,B,C,D,A,C,B,C,C,B,B,A,B,B, ,      ,1,1641044,MM,101,1641
 ,C, , , , ,C, , ,A, ,A, , , , , ,C, ,C, ,A,D,C,C, ,C,C, ,C, ,      ,1,1641021,MM,101,1641
C,C,A,D, , , , ,B, , , , ,B,D, , , , ,*,*,C, , , ,C,C,B,C,C, ,      ,1,1641016,MM,101,1641
B,C,C,D,A,C,C,D,C,A,B,A,C,C,A,B,D,C,B,C,B,A,D,C,B,D,C,C,A,B, ,      ,1,1641028,MM,101,1641
D,C,A,B,B, ,C,B,B,D,A,A, ,C,D,B,B,C,C,C,B,C,D,C,B,A,C,C,C,B, ,      ,1,1641027,MM,101,1641
C,C, , , ,B,C,C,A,D,D, , ,C, , ,C, , , ,B,C,D,C,B, ,C,C,C,B, ,      ,1,1641007,MM,101,1641
C,C, , ,C,B,C,C,A,D,D, ,C, , , ,C, ,D,C,A,C,D,D, ,C,C,C,C,B, ,      ,1,1641026,MM,101,1641
B,C, ,D,D,D,C, ,B, ,D,A, ,A,B, , ,C,D,B,A,D,B,C,C,D,C, , ,B, ,      ,1,1641006,MM,101,1641
C,C,C,D,D, ,C,D, , ,A, , ,C, , , , , , ,B, ,D,C,B,A,C,C, ,B, ,      ,1,1641047,MM,101,1641
C,C, ,D,D, ,C,D, , ,A, , , , ,A, , , , , , ,D,C, ,B,C,C, ,B, ,      ,1,1641045,MM,101,1641
